,Pos,Neg,Mid
992,즐거움,엠뒤,
993,똘똘하,성폭력,
994,대체에너지,폭언,
995,파산보호,개색,
996,횡재,국가부도,
997,유정복,재개발조합,
998,넘궈보자,간첩,
999,사업수익,폐족,
1000,,똘끼,
1001,,브레이커,
1002,,공황,
1003,,꺼림칙,
1004,,쉬발,
1005,,교활,
1006,,셧다운제,
1007,,항공모함,
1008,,교통위반,
1009,,꼬장,
1010,,방사성폐기물,
1011,,싸가지,
1012,,생떼,
1013,,신경질,
1014,,낙담,
1015,,내부고발,
1016,,좆쿠,
1017,,암흑,
1018,,위태롭다,
1019,,사주팔자,
1020,,팔았슴,
1021,,전범,
1022,,대충돌,
1023,,빵점,
1024,,막말,
1025,,차단됨,
1026,,불가라,
1027,,화재보험,
1028,,강간,
1029,,좃문가들,
1030,,익사,
1031,,똥물,
1032,,다시깜방,
1033,,멱살,
1034,,화재원인,
1035,,상폐각,
1036,,약골,
1037,,쉬발쉐기들,
1038,,안되넹,
1039,,위태롭,
1040,,수면장애,
1041,,총파업,
1042,,헛빵,
1043,,뭐햐,
1044,,괴씸,
1045,,혼너,
1046,,느덜,
1047,,반칙,
1048,,음지,
1049,,사익편취,
1050,,소송도,
1051,,쿠테타,
1052,,고발장,
1053,,똥줄,
1054,,청천벽력,
1055,,불순,
1056,,환경문제,
1057,,국감,
1058,,콘감소웅,
1059,,게쉘키,
1060,,날조,
1061,,허위기사,
1062,,심약,
1063,,어처구니,
1064,,멍충,
1065,,얄짤,
1066,,손절침,
1067,,멍청,
1068,,전멸,
1069,,좃버,
1070,,단죄,
1071,,발달장애,
1072,,비버리힐즈,
1073,,체크아웃,
1074,,런런런,
1075,,조정호,
1076,,헝다사태,
1077,,짐꾼,
1078,,성희롱,
1079,,띨띨,
1080,,능욕,
1081,,홉슨개발,
1082,,핑안헬,
1083,,쉑들,
1084,,어리석음,
1085,,여론조작,
1086,,대공황,
1087,,핵폭탄,
1088,,삼중고,
1089,,부족함,
1090,,언론플레이,
1091,,물국감,
1092,,헬케,
1093,,직격타,
1094,,매몰비용,
1095,,적패,
1096,,중악재,
1097,,멍청이,
1098,,숙청,
1099,,고민정,
1100,,위험수위,
1101,,지분매도,
1102,,판매정지,
1103,,멸종위기,
1104,,숏충,
1105,,대표소송,
1106,,무분별,
1107,,비상발전기,
1108,,털린,
1109,,시바이누,
1110,,취약점,
1111,,불가리아,
1112,,퇴행,
1113,,내부고발자,
1114,,쥐똥,
1115,,악황,
1116,,우주쓰레기,
1117,,주거지역,
1118,,볼멘소리,
1119,,빅스텝,
1120,,부분파업,
1121,,못마땅,
1122,,침울,
1123,,리빙앤헬스,
1124,,은폐,
1125,,헬퍼,
1126,,곤경,
1127,,근무시간,
1128,,침공,
1129,,공격수,
1130,,추락천사,
1131,,헬스요금,
1132,,짓밟힌,
1133,,면직,
1134,,수요충격,
1135,,미개발,
1136,,행정지도,
1137,,주철수,
1138,,출렁거렸,
1139,,밑장빼기,
1140,,놓첬다,
1141,,소송대리인,
